Incident_ID,Timestamp,Threat,Risk,Risk_Score,Confidence,Evidence
INC-CD40F0C7,2026-08-28 14:32:39,NORMAL,LOW,20,100.0,['Traffic behavior within normal range']
INC-7D865801,2026-08-28 14:32:56,PORT_SCAN,HIGH,80,100.0,"['Large number of destination ports contacted', 'Unusually high connection frequency']"
INC-17C5A655,2026-08-28 14:33:34,NORMAL,LOW,20,100.0,['Traffic behavior within normal range']
INC-944C7B9E,2026-08-28 16:12:35,PORT_SCAN,HIGH,76,67.33,['Unusually high connection frequency']
INC-105AB7CD,2026-08-28 16:12:35,DDOS,CRITICAL,80,52.0,['Unusually high connection frequency']
INC-19E9EED3,2026-08-28 16:12:37,PORT_SCAN,HIGH,65,38.67,['Traffic behavior within normal range']
INC-DCA7AA66,2026-08-28 16:12:37,PORT_SCAN,HIGH,65,38.67,['Traffic behavior within normal range']
INC-D454C1A5,2026-08-28 19:04:42,PORT_SCAN,HIGH,67,43.33,['Unusually high connection frequency']
INC-3A8AB98F,2026-08-28 19:04:42,PORT_SCAN,HIGH,66,40.0,['Unusually high connection frequency']
INC-501B462B,2026-08-28 19:04:42,PORT_SCAN,HIGH,66,40.0,['Unusually high connection frequency']
INC-5D9A7852,2026-08-28 19:04:42,PORT_SCAN,HIGH,68,47.33,['Unusually high connection frequency']
INC-05A4B3BD,2026-08-28 19:05:55,DDOS,CRITICAL,71,28.67,"['Abnormally high packet rate', 'Unusually high connection frequency']"
INC-54239DC4,2026-08-28 19:07:28,PORT_SCAN,HIGH,60,26.67,['AI detected port scanning behavior']
INC-F2003544,2026-08-28 19:07:28,PORT_SCAN,HIGH,65,38.67,['AI detected port scanning behavior']
INC-946484E6,2026-08-28 19:07:28,PORT_SCAN,HIGH,65,38.67,['AI detected port scanning behavior']
INC-1368B3E5,2026-08-28 19:07:38,PORT_SCAN,HIGH,76,67.33,['Unusually high connection frequency']
INC-41E45762,2026-08-28 19:07:50,C2_BEACON,HIGH,82,80.0,['AI detected beacon-like communication behavior']
INC-376644AA,2026-08-28 19:08:11,PORT_SCAN,HIGH,76,67.33,['Unusually high connection frequency']
INC-78AC276F,2026-08-28 19:08:21,PORT_SCAN,HIGH,65,38.67,['AI detected port scanning behavior']
INC-99ECC3BF,2026-08-28 19:08:21,PORT_SCAN,HIGH,64,35.33,['AI detected port scanning behavior']
INC-994001DD,2026-08-28 19:08:32,PORT_SCAN,HIGH,64,36.0,['AI detected port scanning behavior']
INC-FE0256B5,2026-08-28 19:08:52,C2_BEACON,HIGH,64,35.33,['AI detected beacon-like communication behavior']
INC-2E971B16,2026-08-28 19:08:53,C2_BEACON,HIGH,75,64.0,['AI detected beacon-like communication behavior']
INC-5EA428C5,2026-08-28 19:08:53,PORT_SCAN,HIGH,65,38.67,['AI detected port scanning behavior']
INC-2FE83B3C,2026-08-28 19:09:55,PORT_SCAN,HIGH,63,32.67,['AI detected port scanning behavior']
INC-802DD6C3,2026-08-28 19:09:55,C2_BEACON,HIGH,63,34.0,['AI detected beacon-like communication behavior']
INC-5ECA0FED,2026-08-28 19:10:57,DDOS,CRITICAL,72,31.33,"['Abnormally high packet rate', 'Unusually high connection frequency']"
INC-9FBE2B91,2026-08-28 19:11:28,PORT_SCAN,HIGH,65,38.67,['AI detected port scanning behavior']
INC-04F8D258,2026-08-28 19:11:39,PORT_SCAN,HIGH,76,67.33,['Unusually high connection frequency']
INC-207CB6D0,2026-08-28 19:11:50,C2_BEACON,HIGH,64,35.33,['AI detected beacon-like communication behavior']
INC-86B36664,2026-08-28 19:12:00,PORT_SCAN,HIGH,76,67.33,['Unusually high connection frequency']
INC-1AA01C29,2026-08-28 19:12:22,C2_BEACON,HIGH,63,33.33,['AI detected beacon-like communication behavior']
INC-F4CCDDD4,2026-08-28 19:12:22,PORT_SCAN,HIGH,65,38.67,['AI detected port scanning behavior']
INC-73D7E672,2026-08-28 21:22:58,C2_BEACON,HIGH,63,34.67,['AI detected beacon-like communication behavior']
