packet_count,byte_count,flow_duration,packets_per_second,bytes_per_second,destination_port_count,connection_count,protocol,label
3961,9147567,13,706.1829828625237,679041.0873003609,2,7619,6,DDOS
4753,5321026,7,357.0376333354735,1494530.1553726569,4,4700,6,DDOS
5374,5393311,11,1066.735830333683,161398.6868046701,2,4002,6,DDOS
76,4120,90,1.4484243854299197,126.70608084806906,1,95,6,C2_BEACON
650,48077,29,37.86559173701675,1958.1530374743552,234,240,6,PORT_SCAN
25,4881,5,5.3106705986122975,637.4318909650721,5,1,6,NORMAL
757,31548,17,10.768852583419587,2508.348151510174,215,158,6,PORT_SCAN
77,7501,94,2.49983801893519,272.84131173014634,1,59,6,C2_BEACON
15,2261,58,6.924299534100685,190.90760750064442,2,6,6,NORMAL
63,5614,61,2.1136931385394355,79.11273169152894,3,22,6,C2_BEACON
36,7119,14,4.522926296670938,421.1949278199322,1,5,6,NORMAL
13,3110,11,6.7938221570870425,667.4626500794725,2,3,6,NORMAL
53,4960,49,2.2711573935906655,679.48164408002,1,10,6,NORMAL
9333,5758152,8,1298.8009981899818,1118992.7128361796,2,7928,6,DDOS
21,2806,53,7.45018159808644,412.34289575634585,1,8,6,NORMAL
38,1677,60,7.217756462298822,295.15012739016504,3,7,6,NORMAL
9237,4959984,10,867.8781398258653,538693.4539402928,4,6514,6,DDOS
674,5520,9,34.85709245268576,1226.6515004601642,90,195,6,PORT_SCAN
58,7086,60,2.9715628720944514,367.99941255960914,5,3,6,NORMAL
8407,9790952,13,947.2708634037693,731236.6503482389,5,3560,6,DDOS
36,5359,61,1.3528557098524336,355.02914937264427,3,59,6,C2_BEACON
71,2578,24,4.8323836481770295,785.4847600327422,4,3,6,NORMAL
37,1041,82,1.0178408514469666,401.9227589402063,3,36,6,C2_BEACON
50,2754,42,0.931044928503363,298.8646450268361,3,89,6,C2_BEACON
64,7611,51,0.8858455997928203,323.2479372649609,3,6,6,NORMAL
46,2584,55,1.0087704755983808,335.26979484673694,5,6,6,NORMAL
7538,2203045,6,1215.573956561453,994748.8191616577,2,5990,6,DDOS
9896,9701778,10,849.6085104711265,872514.9083236876,3,3813,6,DDOS
4697,4183039,6,842.49608394356,389857.65817802364,2,6013,6,DDOS
58,6905,50,3.1933408237817376,567.291915732349,4,6,6,NORMAL
4805,4822289,13,871.5627814963806,1351390.7814202595,1,3224,6,DDOS
18,1247,58,1.1402326799871454,460.28269262415324,3,3,6,NORMAL
5445,8735014,15,818.830103301012,1219212.1340816075,3,3151,6,DDOS
56,6124,90,2.2109076509432204,478.33073635871085,1,96,6,C2_BEACON
40,4036,49,4.926229059375915,643.9535882489453,4,7,6,NORMAL
4228,3719816,3,594.7039317820497,1249481.7949852631,4,8952,6,DDOS
227,25112,23,28.12717665906719,2589.99949068795,266,95,6,PORT_SCAN
6199,5672822,10,362.8983074266196,56765.31248214691,4,4305,6,DDOS
